cleaning_status,platinum_prompt,platinum_prompt_no_cot,platinum_target,original_target,platinum_parsing_strategy,ID,Body,Question,Equation,Answer,Type,question_concat,bodmas_question,elog_question,trigno_question
verified,"Solve the following math word problem.

Adam could fit 11 action figures on each shelf in his room. His room has 4 shelves and 40 cabinets.
How many total action figures could his shelves hold?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Adam could fit 11 action figures on each shelf in his room. His room has 4 shelves and 40 cabinets.
How many total action figures could his shelves hold?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['44'],['44'],math,chal-699,Adam could fit 11 action figures on each shelf in his room. His room has 4 shelves and 40 cabinets.,How many total action figures could his shelves hold?,( 11.0 * 4.0 ),44,Multiplication,Adam could fit 11 action figures on each shelf in his room. His room has 4 shelves and 40 cabinets. How many total action figures could his shelves hold?,Adam could fit 11 action figures on each shelf in his room. His room has 4 shelves and (41-(0.5*2))  cabinets. How many total action figures could his shelves hold?,Adam could fit 11 action figures on each shelf in his room. His room has 4 shelves and LOG(EXPONENTIAL(40))  cabinets. How many total action figures could his shelves hold?,Adam could fit 11 action figures on each shelf in his room. His room has 4 shelves and (40.0*(sec^2(95)-tan^2(95)))  cabinets. How many total action figures could his shelves hold?
consensus,"Solve the following math word problem.

The ring toss game at the carnival made 144 dollars per day. They were at the carnival for 22 days.
How much money did they make?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

The ring toss game at the carnival made 144 dollars per day. They were at the carnival for 22 days.
How much money did they make?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['3168'],['3168'],math,chal-760,The ring toss game at the carnival made 144 dollars per day. They were at the carnival for 22 days.,How much money did they make?,( 144.0 * 22.0 ),3168,Multiplication,The ring toss game at the carnival made 144 dollars per day. They were at the carnival for 22 days. How much money did they make?,The ring toss game at the carnival made (145-(0.5*2))  dollars per day. They were at the carnival for 22 days. How much money did they make?,The ring toss game at the carnival made LOG(EXPONENTIAL(144))  dollars per day. They were at the carnival for 22 days. How much money did they make?,The ring toss game at the carnival made (145-(cosec^2(5) - cot^2(5)))  dollars per day. They were at the carnival for 22 days. How much money did they make?
consensus,"Solve the following math word problem.

Brenda's mother made cookies for 5. She prepared 22 cookies but had to throw away 17 cookies. If each of them had the same number of cookies
How many did each of them have?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Brenda's mother made cookies for 5. She prepared 22 cookies but had to throw away 17 cookies. If each of them had the same number of cookies
How many did each of them have?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['1'],['1'],math,chal-739,Brenda's mother made cookies for 5. She prepared 22 cookies but had to throw away 17 cookies. If each of them had the same number of cookies,How many did each of them have?,( ( 22.0 - 17.0 ) / 5.0 ),1,Common-Division,Brenda's mother made cookies for 5. She prepared 22 cookies but had to throw away 17 cookies. If each of them had the same number of cookies How many did each of them have?,Brenda's mother made cookies for 5. She prepared (23-(91/91))  cookies but had to throw away 17 cookies. If each of them had the same number of cookies How many did each of them have?,Brenda's mother made cookies for 5. She prepared LOG(EXPONENTIAL(22))  cookies but had to throw away 17 cookies. If each of them had the same number of cookies How many did each of them have?,Brenda's mother made cookies for 5. She prepared (23-(cos^2(4) + sin^2(4)))  cookies but had to throw away 17 cookies. If each of them had the same number of cookies How many did each of them have?
verified,"Solve the following math word problem.

White t - shirts can be purchased in packages of 53. If mom buys 57 packages of white t - shirts and 34 trousers
How many white t - shirts will she have?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

White t - shirts can be purchased in packages of 53. If mom buys 57 packages of white t - shirts and 34 trousers
How many white t - shirts will she have?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['3021'],['3021'],math,chal-932,White t - shirts can be purchased in packages of 53. If mom buys 57 packages of white t - shirts and 34 trousers,How many white t - shirts will she have?,( 53.0 * 57.0 ),3021,Multiplication,White t - shirts can be purchased in packages of 53. If mom buys 57 packages of white t - shirts and 34 trousers How many white t - shirts will she have?,White t - shirts can be purchased in packages of 53. If mom buys 57 packages of white t - shirts and (33+(16/16))  trousers How many white t - shirts will she have?,White t - shirts can be purchased in packages of 53. If mom buys 57 packages of white t - shirts and LOG(EXPONENTIAL(34))  trousers How many white t - shirts will she have?,White t - shirts can be purchased in packages of 53. If mom buys 57 packages of white t - shirts and (34.0*(sec^2(38)-tan^2(38)))  trousers How many white t - shirts will she have?
consensus,"Solve the following math word problem.

He then went to see the oranges being harvested. He found out that they harvest 5 sacks of ripe oranges and 74 sacks of unripe oranges per day.
How many more sacks of unripe oranges than ripe oranges are harvested per day?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

He then went to see the oranges being harvested. He found out that they harvest 5 sacks of ripe oranges and 74 sacks of unripe oranges per day.
How many more sacks of unripe oranges than ripe oranges are harvested per day?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['69'],['69'],math,chal-827,He then went to see the oranges being harvested. He found out that they harvest 5 sacks of ripe oranges and 74 sacks of unripe oranges per day.,How many more sacks of unripe oranges than ripe oranges are harvested per day?,( 74.0 - 5.0 ),69,Subtraction,He then went to see the oranges being harvested. He found out that they harvest 5 sacks of ripe oranges and 74 sacks of unripe oranges per day. How many more sacks of unripe oranges than ripe oranges are harvested per day?,He then went to see the oranges being harvested. He found out that they harvest 5 sacks of ripe oranges and (74.0*(0.5*2))  sacks of unripe oranges per day. How many more sacks of unripe oranges than ripe oranges are harvested per day?,He then went to see the oranges being harvested. He found out that they harvest 5 sacks of ripe oranges and EXPONENTIAL(LOG(74))  sacks of unripe oranges per day. How many more sacks of unripe oranges than ripe oranges are harvested per day?,He then went to see the oranges being harvested. He found out that they harvest 5 sacks of ripe oranges and (75-(sec^2(81)-tan^2(81)))  sacks of unripe oranges per day. How many more sacks of unripe oranges than ripe oranges are harvested per day?
consensus,"Solve the following math word problem.

Julia played tag with 14 kids on monday, 2 kids on tuesday and 8 kids on wednesday.
How many more kids did she play with on monday than on wednesday?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Julia played tag with 14 kids on monday, 2 kids on tuesday and 8 kids on wednesday.
How many more kids did she play with on monday than on wednesday?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['6'],['6'],math,chal-520,"Julia played tag with 14 kids on monday, 2 kids on tuesday and 8 kids on wednesday.",How many more kids did she play with on monday than on wednesday?,( 14.0 - 8.0 ),6,Subtraction,"Julia played tag with 14 kids on monday, 2 kids on tuesday and 8 kids on wednesday. How many more kids did she play with on monday than on wednesday?","Julia played tag with (14/(87/87))  kids on monday, 2 kids on tuesday and 8 kids on wednesday. How many more kids did she play with on monday than on wednesday?","Julia played tag with LOG(EXPONENTIAL(14))  kids on monday, 2 kids on tuesday and 8 kids on wednesday. How many more kids did she play with on monday than on wednesday?","Julia played tag with (14.0*(sec^2(58)-tan^2(58)))  kids on monday, 2 kids on tuesday and 8 kids on wednesday. How many more kids did she play with on monday than on wednesday?"
consensus,"Solve the following math word problem.

Paco had 13 cookies. He ate 2 of them. Then he bought 36 more cookies
How many more cookies did he buy than those he ate?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Paco had 13 cookies. He ate 2 of them. Then he bought 36 more cookies
How many more cookies did he buy than those he ate?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['34'],['34'],math,chal-460,Paco had 13 cookies. He ate 2 of them. Then he bought 36 more cookies,How many more cookies did he buy than those he ate?,( 36.0 - 2.0 ),34,Subtraction,Paco had 13 cookies. He ate 2 of them. Then he bought 36 more cookies How many more cookies did he buy than those he ate?,Paco had 13 cookies. He ate 2 of them. Then he bought (37-(0.5*2))  more cookies How many more cookies did he buy than those he ate?,Paco had 13 cookies. He ate 2 of them. Then he bought LOG(EXPONENTIAL(36))  more cookies How many more cookies did he buy than those he ate?,Paco had 13 cookies. He ate 2 of them. Then he bought (35+(cos^2(24) + sin^2(24)))  more cookies How many more cookies did he buy than those he ate?
consensus,"Solve the following math word problem.

White t - shirts can be purchased in packages. If mom buys 28 packages which contain 56 white t - shirts in total
How many white t - shirts does each package have?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

White t - shirts can be purchased in packages. If mom buys 28 packages which contain 56 white t - shirts in total
How many white t - shirts does each package have?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['2'],['2'],math,chal-719,White t - shirts can be purchased in packages. If mom buys 28 packages which contain 56 white t - shirts in total,How many white t - shirts does each package have?,( 56.0 / 28.0 ),2,Common-Division,White t - shirts can be purchased in packages. If mom buys 28 packages which contain 56 white t - shirts in total How many white t - shirts does each package have?,White t - shirts can be purchased in packages. If mom buys 28 packages which contain (56.0*(0.5*2))  white t - shirts in total How many white t - shirts does each package have?,White t - shirts can be purchased in packages. If mom buys 28 packages which contain EXPONENTIAL(LOG(56))  white t - shirts in total How many white t - shirts does each package have?,White t - shirts can be purchased in packages. If mom buys 28 packages which contain (55+(sec^2(63)-tan^2(63)))  white t - shirts in total How many white t - shirts does each package have?
verified,"Solve the following math word problem.

The school has 304 grades and each grade has 75 students
How many students were there in total?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

The school has 304 grades and each grade has 75 students
How many students were there in total?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['22800'],['22800'],math,chal-643,The school has 304 grades and each grade has 75 students,How many students were there in total?,( 304.0 * 75.0 ),22800,Multiplication,The school has 304 grades and each grade has 75 students How many students were there in total?,The school has (305-(0.5*2))  grades and each grade has 75 students How many students were there in total?,The school has EXPONENTIAL(LOG(304))  grades and each grade has 75 students How many students were there in total?,The school has (303+(cosec^2(98) - cot^2(98)))  grades and each grade has 75 students How many students were there in total?
consensus,"Solve the following math word problem.

He then went to see the oranges being harvested. He found out that they harvest 25 sacks of unripe oranges and 5 sacks of ripe oranges per day.
How many sacks of ripe oranges will they have after 73 days of harvest?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

He then went to see the oranges being harvested. He found out that they harvest 25 sacks of unripe oranges and 5 sacks of ripe oranges per day.
How many sacks of ripe oranges will they have after 73 days of harvest?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['365'],['365'],math,chal-571,He then went to see the oranges being harvested. He found out that they harvest 25 sacks of unripe oranges and 5 sacks of ripe oranges per day.,How many sacks of ripe oranges will they have after 73 days of harvest?,( 5.0 * 73.0 ),365,Multiplication,He then went to see the oranges being harvested. He found out that they harvest 25 sacks of unripe oranges and 5 sacks of ripe oranges per day. How many sacks of ripe oranges will they have after 73 days of harvest?,He then went to see the oranges being harvested. He found out that they harvest (26-(0.5*2))  sacks of unripe oranges and 5 sacks of ripe oranges per day. How many sacks of ripe oranges will they have after 73 days of harvest?,He then went to see the oranges being harvested. He found out that they harvest LOG(EXPONENTIAL(25))  sacks of unripe oranges and 5 sacks of ripe oranges per day. How many sacks of ripe oranges will they have after 73 days of harvest?,He then went to see the oranges being harvested. He found out that they harvest (25.0*(cos^2(22) + sin^2(22)))  sacks of unripe oranges and 5 sacks of ripe oranges per day. How many sacks of ripe oranges will they have after 73 days of harvest?
consensus,"Solve the following math word problem.

Steven has 14 peaches. Jake has 6 fewer peaches than Steven and 3 more peaches than Jill.
How many peaches does Jill have?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Steven has 14 peaches. Jake has 6 fewer peaches than Steven and 3 more peaches than Jill.
How many peaches does Jill have?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['5'],['5'],math,chal-164,Steven has 14 peaches. Jake has 6 fewer peaches than Steven and 3 more peaches than Jill.,How many peaches does Jill have?,( ( 14.0 - 6.0 ) - 3.0 ),5,Subtraction,Steven has 14 peaches. Jake has 6 fewer peaches than Steven and 3 more peaches than Jill. How many peaches does Jill have?,Steven has 14 peaches. Jake has (7-(69/69))  fewer peaches than Steven and 3 more peaches than Jill. How many peaches does Jill have?,Steven has 14 peaches. Jake has LOG(EXPONENTIAL(6))  fewer peaches than Steven and 3 more peaches than Jill. How many peaches does Jill have?,Steven has 14 peaches. Jake has (5+(cosec^2(94) - cot^2(94)))  fewer peaches than Steven and 3 more peaches than Jill. How many peaches does Jill have?
verified,"Solve the following math word problem.

A waiter had 12 customers. While 15 customers left he got 14 new customers.
How many customers does he still have?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

A waiter had 12 customers. While 15 customers left he got 14 new customers.
How many customers does he still have?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['11'],['11'],math,chal-61,A waiter had 12 customers. While 15 customers left he got 14 new customers.,How many customers does he still have?,( ( 12.0 - 15.0 ) + 14.0 ),11,Addition,A waiter had 12 customers. While 15 customers left he got 14 new customers. How many customers does he still have?,A waiter had 12 customers. While (15/(0.5*2))  customers left he got 14 new customers. How many customers does he still have?,A waiter had 12 customers. While LOG(EXPONENTIAL(15))  customers left he got 14 new customers. How many customers does he still have?,A waiter had 12 customers. While (15/(cosec^2(25) - cot^2(25)))  customers left he got 14 new customers. How many customers does he still have?
consensus,"Solve the following math word problem.

Allan brought 2 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park.
How many more balloons did Allan have than Jake in the park?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Allan brought 2 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park.
How many more balloons did Allan have than Jake in the park?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['1'],['1'],math,chal-109,Allan brought 2 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park.,How many more balloons did Allan have than Jake in the park?,( ( 2.0 + 3.0 ) - 4.0 ),1,Subtraction,Allan brought 2 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park. How many more balloons did Allan have than Jake in the park?,Allan brought (2/(21/21))  balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park. How many more balloons did Allan have than Jake in the park?,Allan brought LOG(EXPONENTIAL(2))  balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park. How many more balloons did Allan have than Jake in the park?,Allan brought (3-(sec^2(48)-tan^2(48)))  balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park. How many more balloons did Allan have than Jake in the park?
consensus,"Solve the following math word problem.

Ed had 6 more marbles than Doug. Doug lost 7 of his marbles at the playground. If Ed had 22 marbles
How many marbles does Doug have now?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Ed had 6 more marbles than Doug. Doug lost 7 of his marbles at the playground. If Ed had 22 marbles
How many marbles does Doug have now?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['9'],['9'],math,chal-799,Ed had 6 more marbles than Doug. Doug lost 7 of his marbles at the playground. If Ed had 22 marbles,How many marbles does Doug have now?,( ( 22.0 - 6.0 ) - 7.0 ),9,Subtraction,Ed had 6 more marbles than Doug. Doug lost 7 of his marbles at the playground. If Ed had 22 marbles How many marbles does Doug have now?,Ed had 6 more marbles than Doug. Doug lost (7/(43/43))  of his marbles at the playground. If Ed had 22 marbles How many marbles does Doug have now?,Ed had 6 more marbles than Doug. Doug lost LOG(EXPONENTIAL(7))  of his marbles at the playground. If Ed had 22 marbles How many marbles does Doug have now?,Ed had 6 more marbles than Doug. Doug lost (7.0*(cos^2(96) + sin^2(96)))  of his marbles at the playground. If Ed had 22 marbles How many marbles does Doug have now?
consensus,"Solve the following math word problem.

At the arcade Dave had won 18 tickets. If he used 5 to buy some toys and 11 more to buy some clothes
How many tickets did Dave have left?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

At the arcade Dave had won 18 tickets. If he used 5 to buy some toys and 11 more to buy some clothes
How many tickets did Dave have left?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['2'],['2'],math,chal-842,At the arcade Dave had won 18 tickets. If he used 5 to buy some toys and 11 more to buy some clothes,How many tickets did Dave have left?,( 18.0 - ( 5.0 + 11.0 ) ),2,Subtraction,At the arcade Dave had won 18 tickets. If he used 5 to buy some toys and 11 more to buy some clothes How many tickets did Dave have left?,At the arcade Dave had won (18/(0.5*2))  tickets. If he used 5 to buy some toys and 11 more to buy some clothes How many tickets did Dave have left?,At the arcade Dave had won EXPONENTIAL(LOG(18))  tickets. If he used 5 to buy some toys and 11 more to buy some clothes How many tickets did Dave have left?,At the arcade Dave had won (17+(cosec^2(35) - cot^2(35)))  tickets. If he used 5 to buy some toys and 11 more to buy some clothes How many tickets did Dave have left?
consensus,"Solve the following math word problem.

Danny has 21 bottle caps in his collection. He found some more bottle caps at the park. If he has 53 bottle caps now
How many bottle caps did he find at the park?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Danny has 21 bottle caps in his collection. He found some more bottle caps at the park. If he has 53 bottle caps now
How many bottle caps did he find at the park?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['32'],['32'],math,chal-332,Danny has 21 bottle caps in his collection. He found some more bottle caps at the park. If he has 53 bottle caps now,How many bottle caps did he find at the park?,( 53.0 - 21.0 ),32,Subtraction,Danny has 21 bottle caps in his collection. He found some more bottle caps at the park. If he has 53 bottle caps now How many bottle caps did he find at the park?,Danny has (21.0*(67/67))  bottle caps in his collection. He found some more bottle caps at the park. If he has 53 bottle caps now How many bottle caps did he find at the park?,Danny has EXPONENTIAL(LOG(21))  bottle caps in his collection. He found some more bottle caps at the park. If he has 53 bottle caps now How many bottle caps did he find at the park?,Danny has (21.0*(cos^2(55) + sin^2(55)))  bottle caps in his collection. He found some more bottle caps at the park. If he has 53 bottle caps now How many bottle caps did he find at the park?
consensus,"Solve the following math word problem.

Paul got a box of 65 crayons for his birthday. During the school year he gave 213 crayons to his friends while he lost 16 crayons.
How many crayons had been lost or given away?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Paul got a box of 65 crayons for his birthday. During the school year he gave 213 crayons to his friends while he lost 16 crayons.
How many crayons had been lost or given away?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['229'],['229'],math,chal-737,Paul got a box of 65 crayons for his birthday. During the school year he gave 213 crayons to his friends while he lost 16 crayons.,How many crayons had been lost or given away?,( 213.0 + 16.0 ),229,Addition,Paul got a box of 65 crayons for his birthday. During the school year he gave 213 crayons to his friends while he lost 16 crayons. How many crayons had been lost or given away?,Paul got a box of 65 crayons for his birthday. During the school year he gave (214-(0.5*2))  crayons to his friends while he lost 16 crayons. How many crayons had been lost or given away?,Paul got a box of 65 crayons for his birthday. During the school year he gave LOG(EXPONENTIAL(213))  crayons to his friends while he lost 16 crayons. How many crayons had been lost or given away?,Paul got a box of 65 crayons for his birthday. During the school year he gave (212+(cos^2(60) + sin^2(60)))  crayons to his friends while he lost 16 crayons. How many crayons had been lost or given away?
consensus,"Solve the following math word problem.

At the arcade Dave had won 14 tickets and lost 2 tickets. If he used 10 to buy some toys
How many tickets did Dave have left?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

At the arcade Dave had won 14 tickets and lost 2 tickets. If he used 10 to buy some toys
How many tickets did Dave have left?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['2'],['2'],math,chal-622,At the arcade Dave had won 14 tickets and lost 2 tickets. If he used 10 to buy some toys,How many tickets did Dave have left?,( ( 14.0 - 2.0 ) - 10.0 ),2,Subtraction,At the arcade Dave had won 14 tickets and lost 2 tickets. If he used 10 to buy some toys How many tickets did Dave have left?,At the arcade Dave had won 14 tickets and lost 2 tickets. If he used (10/(88/88))  to buy some toys How many tickets did Dave have left?,At the arcade Dave had won 14 tickets and lost 2 tickets. If he used EXPONENTIAL(LOG(10))  to buy some toys How many tickets did Dave have left?,At the arcade Dave had won 14 tickets and lost 2 tickets. If he used (10/(cosec^2(38) - cot^2(38)))  to buy some toys How many tickets did Dave have left?
consensus,"Solve the following math word problem.

A grocery store had 72 bottles of regular soda, 32 bottles of diet soda and 78 apples.
How many more bottles than apple did they have?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

A grocery store had 72 bottles of regular soda, 32 bottles of diet soda and 78 apples.
How many more bottles than apple did they have?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['26'],['26'],math,chal-249,"A grocery store had 72 bottles of regular soda, 32 bottles of diet soda and 78 apples.",How many more bottles than apple did they have?,( ( 72.0 + 32.0 ) - 78.0 ),26,Subtraction,"A grocery store had 72 bottles of regular soda, 32 bottles of diet soda and 78 apples. How many more bottles than apple did they have?","A grocery store had 72 bottles of regular soda, 32 bottles of diet soda and (78.0*(14/14))  apples. How many more bottles than apple did they have?","A grocery store had 72 bottles of regular soda, 32 bottles of diet soda and EXPONENTIAL(LOG(78))  apples. How many more bottles than apple did they have?","A grocery store had 72 bottles of regular soda, 32 bottles of diet soda and (78.0*(cosec^2(4) - cot^2(4)))  apples. How many more bottles than apple did they have?"
verified,"Solve the following math word problem.

Because of the decision Sofia asked the students to suggest specific types of food. If 269 students suggested adding bacon 330 suggested adding mashed potatoes to the menu and 76 suggested adding tomatoes
How many more students suggested mashed potatoes than those that suggested bacon?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Because of the decision Sofia asked the students to suggest specific types of food. If 269 students suggested adding bacon 330 suggested adding mashed potatoes to the menu and 76 suggested adding tomatoes
How many more students suggested mashed potatoes than those that suggested bacon?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['61'],['61'],math,chal-183,Because of the decision Sofia asked the students to suggest specific types of food. If 269 students suggested adding bacon 330 suggested adding mashed potatoes to the menu and 76 suggested adding tomatoes,How many more students suggested mashed potatoes than those that suggested bacon?,( 330.0 - 269.0 ),61,Subtraction,Because of the decision Sofia asked the students to suggest specific types of food. If 269 students suggested adding bacon 330 suggested adding mashed potatoes to the menu and 76 suggested adding tomatoes How many more students suggested mashed potatoes than those that suggested bacon?,Because of the decision Sofia asked the students to suggest specific types of food. If 269 students suggested adding bacon 330 suggested adding mashed potatoes to the menu and (76.0*(0.5*2))  suggested adding tomatoes How many more students suggested mashed potatoes than those that suggested bacon?,Because of the decision Sofia asked the students to suggest specific types of food. If 269 students suggested adding bacon 330 suggested adding mashed potatoes to the menu and EXPONENTIAL(LOG(76))  suggested adding tomatoes How many more students suggested mashed potatoes than those that suggested bacon?,Because of the decision Sofia asked the students to suggest specific types of food. If 269 students suggested adding bacon 330 suggested adding mashed potatoes to the menu and (76/(sec^2(8)-tan^2(8)))  suggested adding tomatoes How many more students suggested mashed potatoes than those that suggested bacon?
consensus,"Solve the following math word problem.

Because of the decision Sofia asked 310 students to suggest specific types of food. 185 students suggested adding mashed potatoes while others suggested adding bacon to the menu.
How many students suggested bacon?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

Because of the decision Sofia asked 310 students to suggest specific types of food. 185 students suggested adding mashed potatoes while others suggested adding bacon to the menu.
How many students suggested bacon?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['125'],['125'],math,chal-72,Because of the decision Sofia asked 310 students to suggest specific types of food. 185 students suggested adding mashed potatoes while others suggested adding bacon to the menu.,How many students suggested bacon?,( 310.0 - 185.0 ),125,Subtraction,Because of the decision Sofia asked 310 students to suggest specific types of food. 185 students suggested adding mashed potatoes while others suggested adding bacon to the menu. How many students suggested bacon?,Because of the decision Sofia asked (310.0*(89/89))  students to suggest specific types of food. 185 students suggested adding mashed potatoes while others suggested adding bacon to the menu. How many students suggested bacon?,Because of the decision Sofia asked EXPONENTIAL(LOG(310))  students to suggest specific types of food. 185 students suggested adding mashed potatoes while others suggested adding bacon to the menu. How many students suggested bacon?,Because of the decision Sofia asked (310.0*(cosec^2(91) - cot^2(91)))  students to suggest specific types of food. 185 students suggested adding mashed potatoes while others suggested adding bacon to the menu. How many students suggested bacon?
consensus,"Solve the following math word problem.

They decided to hold the party in their backyard. They have some sets of tables, each having the 3 chairs. If there are a total of 9 chairs in the backyard
How many sets of tables do they have?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

They decided to hold the party in their backyard. They have some sets of tables, each having the 3 chairs. If there are a total of 9 chairs in the backyard
How many sets of tables do they have?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['3'],['3'],math,chal-527,"They decided to hold the party in their backyard. They have some sets of tables, each having the 3 chairs. If there are a total of 9 chairs in the backyard",How many sets of tables do they have?,( 9.0 / 3.0 ),3,Common-Division,"They decided to hold the party in their backyard. They have some sets of tables, each having the 3 chairs. If there are a total of 9 chairs in the backyard How many sets of tables do they have?","They decided to hold the party in their backyard. They have some sets of tables, each having the 3 chairs. If there are a total of (9/(0.5*2))  chairs in the backyard How many sets of tables do they have?","They decided to hold the party in their backyard. They have some sets of tables, each having the 3 chairs. If there are a total of EXPONENTIAL(LOG(9))  chairs in the backyard How many sets of tables do they have?","They decided to hold the party in their backyard. They have some sets of tables, each having the 3 chairs. If there are a total of (8+(cosec^2(40) - cot^2(40)))  chairs in the backyard How many sets of tables do they have?"
verified,"Solve the following math word problem.

For the walls of the house he would use 12 large planks of wood and 10 small planks. If large planks together need 15 pieces of nails to be secured and small planks together need 5 nails.
How many nails does John need for the house wall?

Think step-by-step. Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.","Solve the following math word problem.

For the walls of the house he would use 12 large planks of wood and 10 small planks. If large planks together need 15 pieces of nails to be secured and small planks together need 5 nails.
How many nails does John need for the house wall?

Then, provide the final answer as a single integer in the format ""Answer: XXX"" with no extra formatting.",['20'],['20'],math,chal-286,For the walls of the house he would use 12 large planks of wood and 10 small planks. If large planks together need 15 pieces of nails to be secured and small planks together need 5 nails.,How many nails does John need for the house wall?,( 15.0 + 5.0 ),20,Addition,For the walls of the house he would use 12 large planks of wood and 10 small planks. If large planks together need 15 pieces of nails to be secured and small planks together need 5 nails. How many nails does John need for the house wall?,For the walls of the house he would use 12 large planks of wood and 10 small planks. If large planks together need (16-(0.5*2))  pieces of nails to be secured and small planks together need 5 nails. How many nails does John need for the house wall?,For the walls of the house he would use 12 large planks of wood and 10 small planks. If large planks together need LOG(EXPONENTIAL(15))  pieces of nails to be secured and small planks together need 5 nails. How many nails does John need for the house wall?,For the walls of the house he would use 12 large planks of wood and 10 small planks. If large planks together need (15.0*(sec^2(53)-tan^2(53)))  pieces of nails to be secured and small planks together need 5 nails. How many nails does John need for the house wall?
